Unnamed: 0,fiscal_year,work_location_borough,base_salary,pay_basis,regular_hours,regular_gross_paid,ot_hours,total_ot_paid,total_other_pay
172,2023,QUEENS,55463.0,per Annum,140.0,4232.57,0.0,0.0,0.0
173,2023,MANHATTAN,59225.0,per Annum,1820.0,59062.64,0.0,0.0,4341.21
174,2023,BROOKLYN,61114.0,per Annum,1820.0,60901.77,211.5,9787.92,8070.74
175,2023,MANHATTAN,94079.0,per Annum,1820.0,101722.04,78.25,4552.78,8314.65
176,2023,MANHATTAN,55853.0,per Annum,1192.0,26038.25,0.0,0.0,315.79
177,2023,RICHMOND,65921.0,per Annum,1820.0,65998.3,326.02,18434.81,14057.46
178,2023,RICHMOND,65921.0,per Annum,378.0,17455.04,0.0,480.27,7844.27
179,2023,MANHATTAN,84634.0,per Annum,1820.0,84402.24,0.0,0.0,6947.97
180,2023,MANHATTAN,67156.0,per Annum,63.0,4962.26,0.0,0.0,2653.43
181,2023,MANHATTAN,51345.0,per Annum,1260.0,35252.25,0.0,0.0,0.0
182,2023,MANHATTAN,76491.0,per Annum,1365.0,50005.74,70.5,3280.28,10455.47
183,2023,MANHATTAN,53848.0,per Annum,735.0,21250.05,0.0,0.0,16.5
184,2023,MANHATTAN,38287.0,per Annum,1612.25,27363.57,296.25,8150.94,4188.54
185,2023,BROOKLYN,53848.0,per Annum,840.0,23191.49,21.5,633.68,324.69
186,2023,BRONX,65921.0,per Annum,1820.0,65995.33,552.0,26352.85,12223.3
187,2023,MANHATTAN,67499.0,per Annum,1820.0,69226.76,0.0,81.91,140.01
188,2023,MANHATTAN,142125.0,per Annum,0.0,0.0,0.0,0.0,11684.59
189,2023,MANHATTAN,45333.0,per Annum,0.0,1120.38,0.0,332.59,42.24
190,2023,BROOKLYN,65921.0,per Annum,1820.0,65998.3,98.75,3881.03,24406.77
191,2023,BROOKLYN,65921.0,per Annum,1820.0,65998.3,297.5,13306.04,5161.29
192,2023,BROOKLYN,65921.0,per Annum,126.0,4152.35,0.0,170.8,2437.87
193,2023,BROOKLYN,91789.0,per Annum,1820.0,76741.61,95.25,5912.45,5281.22
194,2023,MANHATTAN,65921.0,per Annum,1820.0,65938.59,9.25,585.08,3861.77
195,2023,QUEENS,55463.0,per Annum,140.0,4232.57,0.0,0.0,0.0
196,2023,MANHATTAN,86621.0,per Annum,1820.0,82102.58,0.0,0.0,10745.11
197,2023,RICHMOND,65921.0,per Annum,1820.0,65110.59,0.0,0.0,10103.95
198,2023,MANHATTAN,71757.0,per Annum,1252.0,48676.55,0.0,0.0,838.0
199,2023,MANHATTAN,83493.0,per Annum,630.0,27825.04,0.0,0.0,3212.0
200,2023,BROOKLYN,60236.0,per Annum,1820.0,56319.92,170.25,5880.67,3099.74
201,2023,BROOKLYN,54720.0,per Annum,0.0,0.0,0.0,0.0,5237.17
202,2023,BRONX,47132.0,per Annum,0.0,426.48,0.0,57.33,2.91
203,2023,MANHATTAN,91168.0,per Annum,1820.0,91231.54,2.75,152.53,3790.12
204,2023,QUEENS,89095.0,per Annum,420.0,23120.11,25.75,1481.22,12.19
205,2023,BROOKLYN,106894.0,per Annum,1820.0,107022.05,604.75,47190.37,7425.19
206,2023,MANHATTAN,65921.0,per Annum,1820.0,60952.55,339.25,14456.31,13115.11
207,2023,BRONX,65921.0,per Annum,1386.0,50670.23,364.5,17455.3,12290.78
208,2023,MANHATTAN,92243.0,per Annum,2080.0,92349.89,38.75,2524.51,3678.19
209,2023,MANHATTAN,46693.0,per Annum,1820.0,46747.51,590.75,23705.65,4798.32
210,2023,MANHATTAN,50001.0,per Annum,1750.0,50501.95,1.0,25.8,3106.0
211,2023,MANHATTAN,65921.0,per Annum,1820.0,65998.3,0.0,0.0,13561.94
212,2023,MANHATTAN,65921.0,per Annum,1820.0,65998.3,263.5,12436.94,13601.17
213,2023,MANHATTAN,53923.0,per Annum,1820.0,54407.54,1311.5,54807.54,6918.23
214,2023,BROOKLYN,45759.0,per Annum,0.0,0.0,0.0,0.0,-319.81
215,2023,BRONX,47132.0,per Annum,0.0,179.25,0.0,0.0,0.0
216,2023,QUEENS,97912.0,per Annum,1820.0,98029.26,60.0,3658.49,8381.42
217,2023,BRONX,60236.0,per Annum,1820.0,59759.79,408.0,16449.31,3480.93
218,2023,BRONX,55463.0,per Annum,560.0,16583.17,0.0,0.0,3066.5
219,2023,BROOKLYN,65605.0,per Annum,1820.0,68005.58,166.5,8373.01,8161.73
220,2023,QUEENS,60327.0,per Annum,0.0,0.0,0.0,0.0,-1979.29
221,2023,BRONX,65970.0,per Annum,1820.0,66025.36,20.5,994.78,8622.23
222,2023,MANHATTAN,65921.0,per Annum,1785.0,64874.84,25.0,1194.99,12763.73
223,2023,MANHATTAN,55463.0,per Annum,560.0,16016.66,9.25,272.63,3008.25
224,2023,BROOKLYN,50001.0,per Annum,0.0,218.35,0.0,0.0,5.45
225,2023,RICHMOND,64232.0,per Annum,1258.0,43116.7,28.0,1300.53,6508.9
226,2023,MANHATTAN,46693.0,per Annum,70.0,1790.96,0.0,0.0,0.0
227,2023,BROOKLYN,65921.0,per Annum,1820.0,65976.32,58.0,2451.11,4574.2
228,2023,MANHATTAN,106924.0,per Annum,1820.0,107049.53,192.25,13992.83,4005.77
229,2023,MANHATTAN,60453.0,per Annum,1750.0,41956.74,205.25,7635.6,6980.23
230,2023,MANHATTAN,111100.0,per Annum,1820.0,110795.62,0.0,0.0,0.0
231,2023,BRONX,64001.0,per Annum,735.0,27827.32,14.0,647.25,7575.12
232,2023,MANHATTAN,70916.0,per Annum,0.0,696.25,0.0,0.0,0.0
233,2023,MANHATTAN,64288.0,per Annum,1820.0,64339.82,145.25,5864.57,5562.4
234,2023,MANHATTAN,61135.0,per Annum,1820.0,61209.17,0.0,0.0,8029.08
235,2023,MANHATTAN,130706.0,per Annum,1820.0,120311.67,1.0,63.14,3284.15
236,2023,MANHATTAN,71044.0,per Annum,1820.0,71073.51,0.0,0.0,3000.0
237,2023,MANHATTAN,82506.0,per Annum,560.0,24730.95,0.0,0.0,3000.0
238,2023,MANHATTAN,105810.0,per Annum,1820.0,97267.77,0.0,0.0,3418.58
239,2023,QUEENS,65921.0,per Annum,1820.0,65989.87,158.75,7156.35,12433.26
240,2023,MANHATTAN,110262.0,per Annum,1820.0,109959.98,0.0,0.0,0.0
241,2023,BROOKLYN,65921.0,per Annum,1820.0,64404.67,0.0,0.0,4664.27
242,2023,BRONX,52320.0,per Annum,497.25,16203.73,0.0,0.0,198.55
243,2023,BRONX,35985.0,per Annum,2080.0,35848.66,579.25,15703.66,15507.3
244,2023,MANHATTAN,103025.0,per Annum,280.0,15535.25,0.0,0.0,0.0
245,2023,BROOKLYN,49820.0,per Annum,0.0,0.0,0.0,0.0,2286.65
246,2023,MANHATTAN,65921.0,per Annum,1799.0,63412.72,0.0,0.0,7054.23
247,2023,BROOKLYN,62137.0,per Annum,0.0,1582.01,0.0,212.29,5874.08
248,2023,MANHATTAN,91842.0,per Annum,1820.0,91952.24,3.75,233.7,7830.46
249,2023,MANHATTAN,72712.0,per Annum,1240.25,49304.15,0.0,0.0,364.5
250,2023,MANHATTAN,91768.0,per Annum,553.0,32277.29,0.0,0.0,3000.0
251,2023,QUEENS,64232.0,per Annum,1150.5,38618.44,132.25,5671.96,5475.22
252,2023,BROOKLYN,55463.0,per Annum,1050.0,31023.76,15.75,526.83,3149.0
253,2023,MANHATTAN,96295.0,per Annum,1820.0,97644.84,0.0,137.43,14.95
254,2023,MANHATTAN,65921.0,per Annum,1820.0,65998.3,264.75,13155.56,11016.82
255,2023,MANHATTAN,52183.0,per Annum,1820.0,52244.2,0.0,0.0,3000.0
256,2023,BRONX,115927.0,per Annum,1820.0,115609.51,0.0,0.0,0.0
257,2023,MANHATTAN,89096.0,per Annum,1594.75,80540.69,0.0,0.0,6916.49
258,2023,MANHATTAN,67984.0,per Annum,1820.0,67953.35,35.25,1559.71,3084.05
259,2023,MANHATTAN,44013.0,per Annum,0.0,2479.89,0.0,396.3,122.57
260,2023,BROOKLYN,65921.0,per Annum,1820.0,65998.3,124.25,4868.96,14126.22
261,2023,MANHATTAN,45329.0,per Annum,1820.0,45199.68,23.25,609.32,3604.13
262,2023,QUEENS,66022.0,per Annum,1820.0,66103.17,0.0,202.66,8036.34
263,2023,RICHMOND,65921.0,per Annum,1820.0,65998.3,91.5,4814.0,12365.3
264,2023,MANHATTAN,55853.0,per Annum,2080.0,51044.02,472.5,17373.74,4428.36
265,2023,BROOKLYN,65921.0,per Annum,1820.0,65998.3,171.1,7898.54,5329.5
266,2023,BRONX,65921.0,per Annum,1820.0,65998.3,203.0,10283.49,15193.83
267,2023,MANHATTAN,34834.0,per Annum,320.0,5342.73,8.25,206.45,270.27
268,2023,MANHATTAN,60820.0,per Annum,1820.0,60822.36,75.25,3107.36,7426.08
269,2023,RICHMOND,71757.0,per Annum,546.0,20209.73,9.5,373.15,0.0
270,2023,MANHATTAN,58482.0,per Annum,-7.0,-1010.64,-3.0,-83.34,0.0
271,2023,MANHATTAN,35985.0,per Annum,2080.0,35268.4,1565.0,39879.23,4998.15
272,2023,MANHATTAN,65921.0,per Annum,1820.0,65990.93,132.25,6095.36,4653.0
273,2023,QUEENS,48545.0,per Annum,7.25,192.83,0.0,0.0,0.0
274,2023,MANHATTAN,52280.0,per Annum,0.0,613.2,0.0,52.51,0.39
275,2023,MANHATTAN,192325.0,per Annum,1820.0,191422.1,0.0,0.0,1000.0
276,2023,BRONX,34834.0,per Annum,2080.0,34738.32,347.75,8932.21,10981.0
277,2023,MANHATTAN,101091.0,per Annum,1820.0,101211.44,79.0,4870.11,22419.26
278,2023,MANHATTAN,71840.0,per Annum,910.0,35821.63,0.0,0.0,0.0
279,2023,MANHATTAN,117748.0,per Annum,1820.0,117425.36,0.0,0.0,0.0
280,2023,BRONX,65921.0,per Annum,1820.0,60291.87,397.0,18775.21,28339.13
281,2023,QUEENS,65921.0,per Annum,1820.0,65998.3,0.0,0.0,7398.4
282,2023,BROOKLYN,65921.0,per Annum,1820.0,65990.93,60.5,2333.25,4577.52
283,2023,BROOKLYN,50001.0,per Annum,980.0,26684.57,381.75,14764.2,4689.16
284,2023,QUEENS,66022.0,per Annum,1820.0,66114.23,0.0,4.82,15398.43
285,2023,BROOKLYN,64232.0,per Annum,1820.0,63096.68,0.0,0.0,7315.3
286,2023,MANHATTAN,65921.0,per Annum,1820.0,65983.56,87.5,3557.89,10897.86
287,2023,BROOKLYN,50001.0,per Annum,280.0,7342.08,0.0,0.0,0.0
288,2023,BRONX,94330.0,per Annum,1820.0,86526.1,181.75,9842.48,8458.2
289,2023,BRONX,54531.0,per Annum,1820.0,56028.29,313.5,11684.96,1928.93
290,2023,QUEENS,65921.0,per Annum,1820.0,62616.97,112.25,5122.84,4673.8
291,2023,BRONX,57779.0,per Annum,1190.0,33424.73,233.25,9081.21,9267.27
292,2023,RICHMOND,65921.0,per Annum,1820.0,65976.32,368.5,18401.65,10306.49
293,2023,MANHATTAN,115927.0,per Annum,1820.0,115609.52,0.0,0.0,0.0
294,2023,BROOKLYN,47132.0,per Annum,0.0,277.61,0.0,0.0,0.8
295,2023,RICHMOND,58482.0,per Annum,1589.0,50206.84,280.0,10666.23,3180.65
296,2023,BROOKLYN,84044.0,per Annum,2080.0,84139.84,10.33,640.8,3198.0
297,2023,QUEENS,54531.0,per Annum,1050.0,31374.0,0.0,0.0,0.0
298,2023,BRONX,55463.0,per Annum,560.0,16565.96,54.75,2161.15,3034.22
299,2023,BROOKLYN,71757.0,per Annum,560.0,22018.56,0.0,0.0,667.76
300,2023,MANHATTAN,94079.0,per Annum,1820.0,94189.24,407.75,29256.85,13838.2
301,2023,BROOKLYN,53890.0,per Annum,1820.0,55777.34,1067.0,44749.07,17309.76
302,2023,BROOKLYN,53890.0,per Annum,1820.0,54245.54,866.75,35689.76,11543.55
303,2023,MANHATTAN,50207.0,per Annum,2080.0,48659.32,51.92,1882.23,1991.91
304,2023,QUEENS,115927.0,per Annum,1820.0,115609.52,0.0,0.0,0.0
305,2023,MANHATTAN,67983.0,per Annum,0.0,478.52,0.0,0.0,4.86
306,2023,BROOKLYN,62137.0,per Annum,0.0,972.02,0.0,8.92,0.15
